word,count,frequency_rank,train_count,standard_frequency_rank
事物,4,796,2,1043
二,4,797,4,618
二十,4,798,4,619
二十二,4,799,4,620
二十亿,4,800,4,621
二千,4,801,4,622
二号,4,802,4,623
五千,4,803,2,1053
仍然,4,804,4,624
他俩,4,805,4,625
令人,4,806,4,626
任何,4,807,4,627
任命,4,808,4,628
但愿,4,809,0,
保护,4,810,4,631
信,4,811,4,632
修好,4,812,4,633
假如,4,813,0,
假装,4,814,4,634
傻,4,815,0,
儿,4,816,4,636
先生,4,817,4,637
光芒,4,818,4,638
全归,4,819,4,639
六,4,820,4,640
六十二万,4,821,4,641
关于,4,822,0,
内,4,823,4,643
准备,4,824,2,1119
几个,4,825,4,645
几百万年,4,826,4,646
出色,4,827,0,
列车,4,828,4,648
判,4,829,4,649
判决,4,830,4,650
到处跑,4,831,0,
加上,4,832,2,1149
动,4,833,2,1150
动物,4,834,4,652
劲,4,835,2,1154
十,4,836,4,653
十二,4,837,4,654
十五,4,838,4,655
卖,4,839,4,657
即使,4,840,4,658
历史,4,841,2,1175
厌烦,4,842,4,659
原始森林,4,843,4,660
发,4,844,4,663
发光,4,845,2,1183
发问,4,846,0,
受到,4,847,0,
受惊,4,848,4,666
变,4,849,2,1193
口渴,4,850,4,667
另外,4,851,2,1198
可怕,4,852,2,1204
可悲,4,853,4,668
叹,4,854,2,1210
合情合理,4,855,4,671
同情,4,856,4,673
同时,4,857,2,1216
名字,4,858,4,674
向来,4,859,4,675
吓,4,860,4,676
吓人,4,861,4,677
呗,4,862,2,1238
咳嗽,4,863,2,1240
品行,4,864,4,681
哈,4,865,4,682
响,4,866,2,1243
唤醒,4,867,0,
商店,4,868,4,686
喊道,4,869,4,688
喝完,4,870,4,690
嘛,4,871,4,692
嚼,4,872,4,694
回家,4,873,4,697
围巾,4,874,4,698
图画,4,875,2,1267
土耳其,4,876,4,699
地底下,4,877,2,1271
地走了,4,878,4,701
城市,4,879,4,702
墙上,4,880,4,703
壮丽,4,881,4,704
复杂,4,882,2,1291
多长,4,883,0,
大军,4,884,4,706
大声,4,885,2,1307
大老远,4,886,4,708
太沉,4,887,2,1323
头,4,888,2,1328
奇妙,4,889,4,710
好几年,4,890,4,711
好几百万,4,891,4,712
